"journal-article-10.2307_44245131-ngram1.txt","Deutscher Kongress für Psychosomatische Medizin und Psychotherapie vom 16. bis 19. März 2016 in Potsdam – 80 Abstracts"
"journal-article-10.2307_23074592-ngram1.txt","Psychopathic Personality: Bridging the Gap Between Scientific Evidence and Public Policy"
"journal-article-10.2307_23871416-ngram1.txt","Deutscher Kongress für Psychosomatische Medizin und Psychotherapie vom 6. bis 13. März 2013 in Heidelberg - 80 Abstracts"
"journal-article-10.2307_25747950-ngram1.txt","FIRST-YEAR MATERNAL EMPLOYMENT AND CHILD DEVELOPMENT IN THE FIRST 7 YEARS"
"journal-article-10.2307_23256677-ngram1.txt","\"Emotions Are a Window Into One's Heart\": A Qualitative Analysis of Parental Beliefs About Children's Emotions Across Three Ethnic Groups"
"journal-article-10.2307_41415695-ngram1.txt","Antecedents of work–family conflict: A meta-analytic review"
"journal-article-10.2307_40608153-ngram1.txt","DEPRIVATION-SPECIFIC PSYCHOLOGICAL PATTERNS: EFFECTS OF INSTITUTIONAL DEPRIVATION"
"journal-article-10.2307_23484637-ngram1.txt","Online Dating: A Critical Analysis From the Perspective of Psychological Science"
"journal-article-10.2307_23871534-ngram1.txt","Deutscher Kongress für Psychosomatische Medizin und Psychotherapie vom 26. bis 29. März 2014 in Berlin —80 Abstracts"
"journal-article-10.2307_23256638-ngram1.txt","Physiological Measures of Emotion From a Developmental Perspective: State of the Science"
"journal-article-10.2307_23882816-ngram1.txt","Achievement Goals and Achievement Emotions: A Meta-analysis"
"journal-article-10.2307_41261530-ngram1.txt","EARLY SOCIAL COGNITION IN THREE CULTURAL CONTEXTS"
"journal-article-10.2307_40984372-ngram1.txt","THE BETTER BEGINNINGS, BETTER FUTURES PROJECT: FINDINGS FROM GRADE 3 TO GRADE 9"
"journal-article-10.2307_41408750-ngram1.txt","HOW SOCIALIZATION HAPPENS ON THE GROUND: NARRATIVE PRACTICES AS ALTERNATE SOCIALIZING PATHWAYS IN TAIWANESE AND EUROPEAN-AMERICAN FAMILIES"
"journal-article-10.2307_23882814-ngram1.txt","The Transition to High School: Current Knowledge, Future Directions"
"journal-article-10.2307_24709846-ngram1.txt","Examining Project Commitment in Cross-Functional Teams: Antecedents and Relationship with Team Performance"
"journal-article-10.2307_20721300-ngram1.txt","Basic Personal Values, Core Political Values, and Voting: A Longitudinal Analysis"
"journal-article-10.2307_23871103-ngram1.txt","Die Zwangsstörung — Krankheitsbild, Diagnostik und Therapie"
